winner,ref,diff_TD,diff_sub_att,diff_sig_str_leg_pct,diff_sig_str_head_pct,diff_total_str,diff_sig_str_distance_pct,diff_sig_str_body,diff_sig_str_pct,diff_KD,diff_sig_str_distance,diff_sig_str_ground,diff_sig_str_body_pct,diff_sig_str_clinch,diff_sig_str,diff_sig_str_head,diff_TD_pct,diff_sig_str_clinch_pct,diff_sig_str_leg,diff_sig_str_ground_pct
W,Gary Copeland,-1.0,0.0,-13.0,11.0,91.0,-12.0,17.0,14.0,-1.0,48.0,23.0,1.0,0.0,71.0,60.0,20.0,0.0,-6.0,12.0
W,Nick Berens,1.0,0.0,12.0,-21.0,2.0,1.0,3.0,1.0,0.0,-22.0,0.0,9.0,-4.0,-26.0,-32.0,10.0,-1.0,3.0,0.0
L,Josh Stewart,1.0,-1.0,28.0,-36.0,22.0,-4.0,11.0,4.0,0.0,14.0,0.0,8.0,6.0,20.0,-24.0,8.0,4.0,33.0,0.0
W,Marc Goddard,8.0,0.0,6.0,-18.0,14.0,-20.0,17.0,-1.0,0.0,-11.0,14.0,12.0,11.0,14.0,-12.0,31.0,9.0,9.0,12.0
W,Mike Beltran,1.0,0.0,-1.0,-16.0,21.0,-6.0,17.0,11.0,0.0,20.0,1.0,16.0,4.0,25.0,5.0,50.0,5.0,3.0,1.0
L,Joao Claudio Soares,-1.0,0.0,-69.0,53.0,-26.0,-25.0,3.0,7.0,0.0,-10.0,0.0,16.0,4.0,-6.0,12.0,-100.0,25.0,-21.0,0.0
L,Osiris Maia,-2.0,0.0,15.0,-23.0,-44.0,27.0,-8.0,-24.0,0.0,-17.0,-13.0,8.0,-11.0,-41.0,-36.0,-33.0,-11.0,3.0,-15.0
L,Fernando Portella,-2.0,0.0,31.0,-30.0,-4.0,23.0,-3.0,-2.0,-1.0,3.0,-19.0,-1.0,-1.0,-17.0,-28.0,21.0,0.0,14.0,-24.0
L,Marc Goddard,0.0,1.0,11.0,-15.0,47.0,-7.0,-1.0,7.0,1.0,-11.0,4.0,4.0,-4.0,-11.0,-15.0,0.0,0.0,5.0,6.0
W,Fernando Portella,1.0,1.0,-1.0,-20.0,-13.0,1.0,6.0,21.0,0.0,-11.0,-4.0,20.0,1.0,-14.0,-18.0,-82.0,4.0,-2.0,-5.0
W,Mike Beltran,0.0,0.0,-18.0,30.0,48.0,-2.0,-1.0,9.0,0.0,47.0,1.0,-11.0,2.0,50.0,54.0,0.0,1.0,-3.0,0.0
W,Joao Claudio Soares,0.0,0.0,21.0,3.0,42.0,-46.0,-3.0,21.0,1.0,7.0,20.0,-23.0,1.0,28.0,20.0,0.0,2.0,11.0,43.0
L,Chris Tognoni,5.0,0.0,9.0,-22.0,21.0,-16.0,7.0,-11.0,0.0,-10.0,12.0,12.0,-3.0,-1.0,-13.0,35.0,-5.0,5.0,21.0
L,Herb Dean,0.0,0.0,0.0,-57.0,-1.0,0.0,4.0,-17.0,-1.0,0.0,-1.0,57.0,1.0,0.0,-4.0,0.0,14.0,0.0,-14.0
L,Jason Herzog,0.0,0.0,34.0,-26.0,-94.0,13.0,-15.0,-4.0,-2.0,-38.0,-18.0,-8.0,1.0,-55.0,-56.0,0.0,4.0,16.0,-16.0
W,Chris Tognoni,3.0,0.0,-5.0,-3.0,-1.0,1.0,6.0,-1.0,0.0,-3.0,0.0,8.0,-1.0,-4.0,-5.0,42.0,-1.0,-5.0,0.0
L,Jason Herzog,1.0,1.0,41.0,-22.0,18.0,2.0,-23.0,-28.0,0.0,-43.0,-1.0,-19.0,-5.0,-49.0,-30.0,-10.0,-2.0,4.0,1.0
W,Chris Tognoni,2.0,1.0,-25.0,44.0,52.0,-73.0,-2.0,3.0,0.0,-15.0,26.0,-19.0,1.0,12.0,20.0,25.0,1.0,-6.0,72.0
W,Jason Herzog,3.0,2.0,-33.0,31.0,183.0,-23.0,9.0,17.0,-1.0,10.0,52.0,3.0,1.0,63.0,63.0,-34.0,-3.0,-9.0,27.0
L,Marc Goddard,-2.0,-1.0,-1.0,-40.0,-61.0,39.0,-3.0,-55.0,0.0,-5.0,-41.0,43.0,-3.0,-49.0,-45.0,-40.0,-5.0,-1.0,-32.0
L,Keith Peterson,1.0,1.0,-20.0,2.0,-46.0,21.0,6.0,-4.0,0.0,-5.0,-9.0,18.0,-8.0,-22.0,-12.0,28.0,-8.0,-16.0,-12.0
L,Keith Peterson,-2.0,0.0,-10.0,31.0,-38.0,-2.0,-12.0,-6.0,0.0,-6.0,2.0,-21.0,-3.0,-7.0,12.0,26.0,-3.0,-7.0,5.0
